1,AA,CLTSFO,,USA-USA,2023-05,RDC,3.8,3.8,0.0,829,805,-24.0,0.0,2023-03-05,2023-03-12,3.0
1,AA,PHXPSP,,USA-USA,2023-05,RDC,3,3,0.0,392,387,-5.0,0.0,2023-03-05,2023-03-12,3.0
1,AA,PHXTUS,,USA-USA,2023-05,RDC,5.8,5.7,-0.2,803,746,-57.0,-0.1,2023-03-05,2023-03-12,3.0
2,AA,TOTAL,,,2023-05,RDC,-,-,-,-,-,-89.0,0.0,2023-03-05,2023-03-12,
1,AA,CLTSNA,,USA-USA,2023-06,NEW,0.0,1,1,0,221,221.0,1.0,2023-03-05,2023-03-12,1.0
1,AA,PDXPHL,,USA-USA,2023-06,NEW,0.0,0.6,0.6,0,112,112.0,1.0,2023-03-05,2023-03-12,1.0
1,AA,BWICLT,,USA-USA,2023-06,ADD,4.7,5.7,1,757,944,187.0,0.2,2023-03-05,2023-03-12,2.0
1,AA,DFWGUA,,CAM-USA,2023-06,ADD,1,1.4,0.4,160,227,67.0,0.4,2023-03-05,2023-03-12,2.0
1,AA,DFWLAX,,USA-USA,2023-06,ADD,13.2,13.6,0.4,2589,2673,84.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWMCO,,USA-USA,2023-06,ADD,8.7,8.7,0.0,1633,1662,29.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWPHL,,USA-USA,2023-06,ADD,8,8.7,0.7,1530,1667,137.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWPIT,,USA-USA,2023-06,ADD,4.5,4.9,0.5,832,916,84.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWRNO,,USA-USA,2023-06,ADD,3.5,3.9,0.5,555,629,74.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWSAT,,USA-USA,2023-06,ADD,9.6,9.8,0.3,1526,1568,42.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWSEA,,USA-USA,2023-06,ADD,7.2,7.6,0.5,1350,1434,84.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWSJO,,CAM-USA,2023-06,ADD,1,1.4,0.4,160,227,67.0,0.4,2023-03-05,2023-03-12,2.0
1,AA,MCOMIA,,USA-USA,2023-06,ADD,7.9,8.9,1,1444,1631,187.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,MIASAT,,USA-USA,2023-06,ADD,1,2,1,172,332,160.0,0.9,2023-03-05,2023-03-12,2.0
1,AA,CLTPBI,,USA-USA,2023-06,RDC,4.7,3.9,-0.9,831,669,-162.0,-0.2,2023-03-05,2023-03-12,3.0
2,AA,TOTAL,,,2023-06,ADD,-,-,-,-,-,1373.0,0.1,2023-03-05,2023-03-12,
1,AA,BWICLT,,USA-USA,2023-07,ADD,4.9,5.9,1,779,966,187.0,0.2,2023-03-05,2023-03-12,2.0
1,AA,CLTSNA,,USA-USA,2023-07,ADD,0.9,0.9,0.1,192,207,15.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWGUA,,CAM-USA,2023-07,ADD,1.4,1.5,0.1,222,235,13.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,DFWLAX,,USA-USA,2023-07,ADD,13.2,13.2,0.0,2589,2592,3.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWMCO,,USA-USA,2023-07,ADD,8.7,8.7,0.0,1635,1639,4.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWPHL,,USA-USA,2023-07,ADD,8,8.1,0.1,1530,1548,18.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWPIT,,USA-USA,2023-07,ADD,4.4,4.5,0.0,829,832,3.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWRNO,,USA-USA,2023-07,ADD,3.4,3.5,0.0,547,552,5.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWSEA,,USA-USA,2023-07,ADD,7.2,7.2,0.0,1349,1358,9.0,0.0,2023-03-05,2023-03-12,2.0
1,AA,DFWSJO,,CAM-USA,2023-07,ADD,1.4,1.5,0.1,222,235,13.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,MCOMIA,,USA-USA,2023-07,ADD,7.8,8.8,1,1439,1626,187.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,MCOORD,,USA-USA,2023-07,ADD,2.7,3.6,0.9,439,578,139.0,0.3,2023-03-05,2023-03-12,2.0
1,AA,MIASAT,,USA-USA,2023-07,ADD,1,2,1,172,332,160.0,0.9,2023-03-05,2023-03-12,2.0
1,AA,PDXPHL,,USA-USA,2023-07,ADD,0.5,0.6,0.1,97,109,12.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,CLTPBI,,USA-USA,2023-07,RDC,4.9,3.9,-0.9,857,682,-175.0,-0.2,2023-03-05,2023-03-12,3.0
2,AA,TOTAL,,,2023-07,ADD,-,-,-,-,-,593.0,0.0,2023-03-05,2023-03-12,
1,AA,BNACLT,,USA-USA,2023-08,ADD,8.9,10,1.1,1074,1158,84.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,BWICLT,,USA-USA,2023-08,ADD,5,5.4,0.5,804,889,85.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,CLTCMH,,USA-USA,2023-08,ADD,5.5,5,-0.5,587,631,44.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,CLTLEX,,USA-USA,2023-08,ADD,5,5,0.0,337,380,43.0,0.1,2023-03-05,2023-03-12,2.0
1,AA,CLTSBY,,USA-USA,2023-08,ADD,2.5,3,0.5,123,150,27.0,0.2,2023-03-05,2023-03-12,2.0
